City,Price,Beds,Baths,SqFt,Type,Location
Yorba Linda,20000,5,6.5,6361,House,OC
Villa Park,5900,4,3,4300,House,OC
Irvine,6450,5,4,3620,House,OC
Rancho Cucamonga,4800,5,3,3600,House,IE
Arcadia,5980,3,4.5,3498,Condo,LA
Irvine,6000,5,5,3577,House,OC
Irvine,6500,4,4.5,3295,House,OC
Irvine,7800,5,3,3200,House,OC
Irvine,6400,4,5,3063,House,OC
Fontana,3300,4,3,3056,House,IE
Etiwanda,3680,5,3,3026,House,IE
Ontario,3850,4,3,2994,House,IE
Corona,3300,4,2.5,2990,House,IE
Irvine,7998,4,3,2976,Condo,OC
Upland,3845,4,3,2918,House,IE
Huntington Beach,10545,3,5,2910,House,OC
Claremont,4195,4,2,2890,House,LA
Fountain Valley,5995,4,2.5,2879,House,OC
Corona,3900,6,2.5,2869,House,IE
Placentia,4500,5,3,2800,House,OC
Huntington Beach,6795,4,4,2740,House,OC
Riverside,3300,4,3,2725,House,IE
Irvine,6500,4,4,2700,House,OC
Riverside,3495,4,3,2646,House,IE
Rancho Cucamonga,3250,5,3,2554,House,IE
Irvine,5900,3,3.5,2533,Condo,OC
Foothill Ranch,4900,4,3,2500,House,OC
Fontana,3400,4,2.5,2419,House,IE
Orange,6000,4,3,2400,House,OC
Newport Beach,13000,4,3,2400,House,OC
Corona,4900,4,2.5,2400,Condo,IE
Glendora,3950,4,2.5,2398,House,LA
Irvine,5450,4,3,2300,Condo,OC
Fountain Valley,4300,4,2,2271,House,OC
Orange,6995,5,4,2232,House,OC
Fountain Valley,4200,4,2,2164,House,OC
La Mirada,3600,5,3,2137,House,LA
Costa Mesa,6500,4,3,2128,House,OC
Cerritos,4195,4,2.5,2118,House,LA
Newport Beach,8549,4,3,2091,Condo,OC
Riverside,3075,4,3,2086,House,IE
Chino,3800,3,2.5,2084,House,IE
Laguna Hills,5000,3,2.5,2074,House,OC
Corona,3600,4,3.5,2040,House,IE
